Date,Month,Day,Room_Type,Price,Customer_Rating,Booking_Source,Country
2024-01-04,1,4,Suite,216,5,Walk-in,Japan
2024-01-04,1,4,Double,89,5,Online,Australia
2024-01-04,1,4,Suite,237,4,Travel Agency,Canada
2024-01-05,1,5,Suite,246,5,Corporate,USA
2024-01-05,1,5,Deluxe,269,4,Corporate,Australia
2024-01-05,1,5,Deluxe,310,1,Walk-in,Japan
2024-01-05,1,5,Double,85,1,Corporate,UK
2024-01-05,1,5,Deluxe,204,1,Corporate,France
2024-01-05,1,5,Deluxe,271,2,Online,UK
2024-01-05,1,5,Double,96,5,Walk-in,France
2024-01-05,1,5,Single,71,1,Online,India
2024-01-05,1,5,Single,68,1,Online,USA
2024-01-05,1,5,Deluxe,313,3,Online,USA
2024-01-05,1,5,Single,71,2,Corporate,UK
2024-01-05,1,5,Deluxe,227,2,Travel Agency,USA
2024-01-05,1,5,Deluxe,299,4,Walk-in,Australia
2024-01-05,1,5,Double,149,4,Travel Agency,UK
2024-01-05,1,5,Suite,254,3,Travel Agency,India
2024-01-05,1,5,Double,106,5,Online,Canada
2024-01-05,1,5,Suite,162,4,Travel Agency,Japan
2024-01-05,1,5,Single,66,2,Walk-in,Australia
2024-01-05,1,5,Suite,167,3,Travel Agency,India
2024-01-05,1,5,Suite,191,3,Walk-in,UK
2024-01-06,1,6,Single,72,2,Travel Agency,France
2024-01-06,1,6,Single,67,1,Online,Canada
2024-01-06,1,6,Deluxe,353,3,Online,USA
2024-01-06,1,6,Double,142,5,Online,France
2024-01-06,1,6,Deluxe,298,1,Corporate,India
2024-01-06,1,6,Deluxe,240,3,Walk-in,Japan
2024-01-06,1,6,Suite,257,1,Walk-in,Japan
2024-01-06,1,6,Double,105,5,Online,UK
2024-01-06,1,6,Single,88,2,Travel Agency,Australia
2024-01-06,1,6,Deluxe,215,5,Walk-in,Japan
2024-01-06,1,6,Single,53,3,Online,Japan
2024-01-06,1,6,Deluxe,344,2,Walk-in,France
2024-01-06,1,6,Double,140,3,Corporate,Germany
2024-01-06,1,6,Deluxe,309,4,Corporate,France
2024-01-06,1,6,Deluxe,362,2,Online,Japan
2024-01-06,1,6,Double,131,2,Walk-in,USA
2024-01-06,1,6,Deluxe,342,2,Travel Agency,India
2024-01-07,1,7,Deluxe,252,4,Online,UK
2024-01-07,1,7,Single,91,4,Walk-in,Japan
2024-01-07,1,7,Single,87,1,Online,India
2024-01-07,1,7,Single,77,2,Walk-in,India
2024-01-07,1,7,Single,54,3,Corporate,USA
2024-01-07,1,7,Double,99,3,Online,Canada
2024-01-07,1,7,Deluxe,387,4,Corporate,France
2024-01-07,1,7,Deluxe,326,4,Travel Agency,USA
2024-01-07,1,7,Deluxe,344,1,Walk-in,France
2024-01-07,1,7,Suite,176,1,Corporate,Canada
2024-01-07,1,7,Deluxe,271,1,Travel Agency,Germany
2024-01-07,1,7,Double,122,4,Corporate,France
2024-01-08,1,8,Deluxe,322,3,Travel Agency,UK
2024-01-08,1,8,Suite,240,2,Online,USA
2024-01-08,1,8,Single,94,3,Walk-in,India
2024-01-08,1,8,Deluxe,269,5,Online,Australia
2024-01-08,1,8,Double,113,5,Walk-in,Canada
2024-01-08,1,8,Suite,275,4,Walk-in,USA
2024-01-08,1,8,Single,93,1,Walk-in,Australia
2024-01-08,1,8,Deluxe,399,3,Travel Agency,India
2024-01-08,1,8,Deluxe,305,4,Online,India
2024-01-08,1,8,Deluxe,294,2,Travel Agency,Japan
2024-01-08,1,8,Double,117,1,Travel Agency,Canada
2024-01-08,1,8,Double,112,1,Online,Germany
2024-01-08,1,8,Single,52,4,Corporate,USA
2024-01-08,1,8,Deluxe,381,1,Travel Agency,France
2024-01-09,1,9,Deluxe,264,4,Travel Agency,Australia
2024-01-09,1,9,Deluxe,294,2,Travel Agency,Germany
2024-01-09,1,9,Double,128,1,Online,Canada
2024-01-09,1,9,Double,144,5,Corporate,USA
2024-01-09,1,9,Suite,255,5,Online,UK
2024-01-09,1,9,Single,87,5,Corporate,Canada
2024-01-09,1,9,Single,79,5,Walk-in,India
2024-01-09,1,9,Double,130,5,Online,India
2024-01-09,1,9,Double,134,2,Travel Agency,France
2024-01-09,1,9,Single,71,4,Travel Agency,India
2024-01-09,1,9,Double,100,3,Online,India
2024-01-09,1,9,Double,131,2,Travel Agency,USA
2024-01-09,1,9,Double,133,3,Corporate,France
2024-01-10,1,10,Double,147,4,Walk-in,Japan
2024-01-10,1,10,Single,60,5,Corporate,India
2024-01-10,1,10,Suite,296,5,Travel Agency,Japan
2024-01-10,1,10,Single,88,5,Online,Australia
2024-01-10,1,10,Single,87,3,Online,Canada
2024-01-10,1,10,Suite,245,4,Travel Agency,Australia
2024-01-10,1,10,Deluxe,313,1,Walk-in,Canada
2024-01-10,1,10,Deluxe,315,3,Online,Japan
2024-01-10,1,10,Suite,291,5,Corporate,Japan
2024-01-10,1,10,Deluxe,296,5,Corporate,France
2024-01-10,1,10,Single,81,4,Walk-in,Germany
2024-01-10,1,10,Double,84,1,Walk-in,USA
2024-01-10,1,10,Suite,207,3,Travel Agency,UK
2024-01-10,1,10,Deluxe,325,2,Corporate,Australia
2024-01-10,1,10,Single,73,5,Corporate,UK
2024-01-10,1,10,Double,123,2,Corporate,USA
2024-01-10,1,10,Single,92,5,Corporate,Australia
2024-01-10,1,10,Double,122,1,Travel Agency,USA
2024-01-10,1,10,Double,144,5,Travel Agency,Australia
2024-01-11,1,11,Suite,267,1,Corporate,Canada
2024-01-11,1,11,Single,95,2,Corporate,Germany
2024-01-11,1,11,Single,90,2,Online,Australia
2024-01-11,1,11,Double,116,5,Corporate,Canada
2024-01-11,1,11,Double,116,4,Corporate,Germany
2024-01-11,1,11,Single,53,5,Online,India
2024-01-11,1,11,Single,75,3,Walk-in,UK
2024-01-11,1,11,Single,64,1,Corporate,Canada
2024-01-11,1,11,Single,71,1,Travel Agency,France
2024-01-11,1,11,Suite,201,4,Online,Germany
2024-01-12,1,12,Single,79,1,Travel Agency,India
2024-01-12,1,12,Suite,259,5,Walk-in,Germany
2024-01-12,1,12,Suite,152,4,Travel Agency,France
2024-01-12,1,12,Deluxe,209,5,Travel Agency,USA
2024-01-12,1,12,Deluxe,207,1,Online,Germany
2024-01-12,1,12,Single,65,4,Corporate,France
2024-01-12,1,12,Double,80,4,Corporate,UK
2024-01-12,1,12,Double,143,1,Walk-in,France
2024-01-12,1,12,Deluxe,317,5,Travel Agency,UK
2024-01-12,1,12,Deluxe,291,2,Travel Agency,France
2024-01-12,1,12,Single,62,2,Online,UK
2024-01-12,1,12,Suite,245,5,Online,Germany
2024-01-12,1,12,Deluxe,305,1,Walk-in,France
2024-01-12,1,12,Suite,211,1,Walk-in,Canada
2024-01-12,1,12,Deluxe,270,1,Travel Agency,UK
2024-01-12,1,12,Single,86,3,Corporate,Japan
2024-01-12,1,12,Deluxe,335,4,Travel Agency,Germany
2024-01-12,1,12,Double,107,2,Online,USA
2024-01-13,1,13,Suite,164,2,Walk-in,India
2024-01-13,1,13,Suite,228,2,Walk-in,France
2024-01-13,1,13,Deluxe,218,4,Online,Australia
2024-01-13,1,13,Suite,195,1,Walk-in,Japan
2024-01-13,1,13,Single,67,5,Online,Japan
2024-01-13,1,13,Deluxe,225,5,Walk-in,USA
2024-01-13,1,13,Single,65,2,Walk-in,UK
2024-01-13,1,13,Suite,157,3,Travel Agency,Germany
2024-01-13,1,13,Suite,254,5,Online,Japan
2024-01-13,1,13,Double,113,5,Travel Agency,UK
2024-01-13,1,13,Single,60,1,Travel Agency,UK
2024-01-13,1,13,Suite,175,3,Walk-in,France
2024-01-13,1,13,Single,76,3,Travel Agency,France
2024-01-13,1,13,Single,50,5,Online,France
2024-01-13,1,13,Suite,153,3,Corporate,India
2024-01-13,1,13,Single,61,4,Corporate,USA
2024-01-14,1,14,Deluxe,347,2,Online,Germany
2024-01-14,1,14,Single,73,5,Corporate,Australia
2024-01-14,1,14,Single,53,1,Travel Agency,Canada
2024-01-14,1,14,Deluxe,293,1,Travel Agency,Canada
2024-01-14,1,14,Suite,256,5,Travel Agency,France
2024-01-14,1,14,Single,72,4,Corporate,USA
2024-01-14,1,14,Double,101,3,Corporate,India
2024-01-14,1,14,Suite,231,1,Travel Agency,France
2024-01-14,1,14,Suite,221,3,Travel Agency,Canada
2024-01-14,1,14,Suite,193,3,Online,USA
2024-01-14,1,14,Single,81,4,Online,India
2024-01-14,1,14,Single,100,4,Walk-in,USA
2024-01-14,1,14,Double,90,1,Online,Canada
2024-01-14,1,14,Suite,162,5,Corporate,USA
2024-01-14,1,14,Double,101,5,Online,Canada
2024-01-14,1,14,Deluxe,336,5,Walk-in,UK
2024-01-14,1,14,Double,133,1,Online,Japan
2024-01-15,1,15,Suite,256,5,Travel Agency,UK
2024-01-15,1,15,Deluxe,368,2,Online,Australia
2024-01-15,1,15,Deluxe,264,5,Online,USA
2024-01-15,1,15,Single,80,1,Travel Agency,Canada
2024-01-15,1,15,Suite,218,4,Walk-in,Australia
2024-01-15,1,15,Suite,290,5,Travel Agency,Germany
2024-01-15,1,15,Double,92,3,Travel Agency,Japan
2024-01-15,1,15,Double,108,5,Walk-in,India
2024-01-15,1,15,Double,140,3,Corporate,France
2024-01-15,1,15,Suite,224,3,Corporate,Japan
2024-01-15,1,15,Single,86,2,Travel Agency,Japan
2024-01-16,1,16,Double,139,1,Corporate,USA
2024-01-16,1,16,Suite,220,4,Online,Japan
2024-01-16,1,16,Deluxe,309,4,Online,UK
2024-01-16,1,16,Double,97,5,Online,France
2024-01-16,1,16,Suite,250,1,Online,Japan
2024-01-16,1,16,Suite,170,2,Corporate,UK
2024-01-16,1,16,Deluxe,270,5,Walk-in,USA
2024-01-16,1,16,Suite,272,4,Online,Germany
2024-01-16,1,16,Suite,225,4,Travel Agency,USA
2024-01-16,1,16,Double,86,3,Walk-in,India
2024-01-16,1,16,Deluxe,327,4,Travel Agency,Germany
2024-01-16,1,16,Suite,284,3,Online,USA
2024-01-16,1,16,Deluxe,260,3,Walk-in,France
2024-01-16,1,16,Deluxe,236,2,Walk-in,France
2024-01-16,1,16,Single,60,5,Corporate,Australia
2024-01-16,1,16,Deluxe,368,4,Travel Agency,UK
2024-01-16,1,16,Deluxe,290,1,Corporate,Australia
2024-01-16,1,16,Double,125,5,Walk-in,Germany
2024-01-16,1,16,Single,68,5,Travel Agency,USA
2024-01-17,1,17,Single,67,4,Travel Agency,Japan
2024-01-17,1,17,Suite,204,5,Walk-in,Canada
2024-01-17,1,17,Single,75,4,Online,UK
2024-01-17,1,17,Deluxe,395,5,Walk-in,India
2024-01-17,1,17,Single,58,4,Corporate,India
2024-01-17,1,17,Double,136,3,Travel Agency,Germany
2024-01-17,1,17,Suite,157,4,Corporate,USA
2024-01-17,1,17,Suite,243,5,Corporate,India
2024-01-17,1,17,Single,86,1,Travel Agency,Australia
2024-01-17,1,17,Double,147,5,Corporate,India
2024-01-17,1,17,Single,51,1,Walk-in,UK
2024-01-17,1,17,Deluxe,278,3,Online,UK
2024-01-17,1,17,Single,65,2,Corporate,Canada
2024-01-17,1,17,Suite,153,3,Online,Japan
2024-01-17,1,17,Deluxe,386,3,Online,Germany
2024-01-18,1,18,Single,64,5,Travel Agency,France
2024-01-18,1,18,Suite,284,5,Walk-in,France
2024-01-18,1,18,Suite,284,3,Corporate,USA
2024-01-18,1,18,Suite,267,5,Walk-in,India
2024-01-18,1,18,Suite,212,4,Travel Agency,UK
2024-01-18,1,18,Deluxe,367,5,Online,France
2024-01-18,1,18,Suite,195,4,Online,Canada
2024-01-18,1,18,Deluxe,361,2,Walk-in,India
2024-01-18,1,18,Deluxe,395,3,Online,Canada
2024-01-18,1,18,Double,92,4,Walk-in,France
2024-01-18,1,18,Single,83,5,Walk-in,Germany
2024-01-18,1,18,Suite,167,3,Corporate,Germany
2024-01-18,1,18,Suite,248,1,Online,Canada
2024-01-18,1,18,Double,120,2,Walk-in,Germany
2024-01-18,1,18,Suite,270,1,Travel Agency,France
2024-01-18,1,18,Double,104,2,Travel Agency,USA
2024-01-18,1,18,Single,66,4,Online,Australia
2024-01-19,1,19,Double,145,4,Corporate,France
2024-01-19,1,19,Double,147,3,Travel Agency,Germany
2024-01-19,1,19,Double,99,4,Walk-in,Canada
2024-01-19,1,19,Deluxe,240,2,Walk-in,Canada
2024-01-19,1,19,Suite,274,1,Online,Japan
2024-01-19,1,19,Single,68,3,Corporate,UK
2024-01-19,1,19,Suite,207,3,Walk-in,Japan
2024-01-19,1,19,Single,92,3,Walk-in,France
2024-01-19,1,19,Deluxe,267,2,Corporate,USA
2024-01-19,1,19,Single,80,1,Travel Agency,France
2024-01-20,1,20,Suite,184,2,Travel Agency,India
2024-01-20,1,20,Deluxe,283,2,Corporate,USA
2024-01-20,1,20,Single,83,3,Travel Agency,USA
2024-01-20,1,20,Single,57,4,Online,Germany
2024-01-20,1,20,Single,93,4,Walk-in,Australia
2024-01-20,1,20,Deluxe,306,5,Corporate,Canada
2024-01-20,1,20,Deluxe,281,3,Walk-in,Germany
2024-01-20,1,20,Single,53,1,Travel Agency,Japan
2024-01-20,1,20,Single,97,1,Travel Agency,India
2024-01-20,1,20,Deluxe,267,5,Corporate,USA
2024-01-20,1,20,Suite,192,2,Corporate,India
2024-01-21,1,21,Suite,236,2,Travel Agency,France
2024-01-21,1,21,Suite,293,5,Travel Agency,UK
2024-01-21,1,21,Deluxe,400,4,Travel Agency,UK
2024-01-21,1,21,Suite,243,5,Walk-in,India
2024-01-21,1,21,Suite,275,4,Online,Australia
2024-01-21,1,21,Single,94,5,Walk-in,Germany
2024-01-21,1,21,Single,87,4,Walk-in,UK
2024-01-21,1,21,Single,65,4,Travel Agency,USA
2024-01-21,1,21,Suite,266,4,Online,Japan
2024-01-21,1,21,Single,89,3,Corporate,Germany
2024-01-21,1,21,Double,122,5,Corporate,India
2024-01-21,1,21,Suite,227,1,Corporate,UK
2024-01-21,1,21,Double,105,5,Travel Agency,Japan
2024-01-21,1,21,Single,63,4,Online,Canada
2024-01-21,1,21,Suite,153,5,Travel Agency,France
2024-01-21,1,21,Suite,247,5,Online,India
2024-01-22,1,22,Single,71,4,Walk-in,France
2024-01-22,1,22,Deluxe,335,2,Corporate,UK
2024-01-22,1,22,Suite,264,2,Corporate,Germany
2024-01-22,1,22,Deluxe,230,1,Travel Agency,Germany
2024-01-22,1,22,Double,133,2,Travel Agency,Germany
2024-01-22,1,22,Double,89,2,Online,Japan
2024-01-22,1,22,Suite,280,1,Corporate,UK
2024-01-22,1,22,Suite,260,5,Travel Agency,Japan
2024-01-22,1,22,Suite,288,2,Walk-in,UK
2024-01-22,1,22,Double,137,1,Walk-in,UK
2024-01-22,1,22,Single,96,5,Online,Japan
2024-01-22,1,22,Single,87,1,Walk-in,Germany
2024-01-22,1,22,Double,125,5,Online,USA
2024-01-22,1,22,Double,139,5,Walk-in,USA
2024-01-22,1,22,Single,97,1,Walk-in,Canada
2024-01-23,1,23,Deluxe,395,4,Online,USA
2024-01-23,1,23,Double,86,1,Travel Agency,Germany
2024-01-23,1,23,Double,135,1,Corporate,UK
2024-01-23,1,23,Suite,272,1,Corporate,Japan
2024-01-23,1,23,Single,73,3,Travel Agency,Canada
2024-01-23,1,23,Single,76,1,Walk-in,India
2024-01-23,1,23,Deluxe,206,5,Travel Agency,Japan
2024-01-23,1,23,Double,121,3,Corporate,UK
2024-01-23,1,23,Suite,283,5,Online,Australia
2024-01-23,1,23,Suite,254,3,Walk-in,Japan
2024-01-23,1,23,Deluxe,263,5,Travel Agency,UK
2024-01-23,1,23,Double,103,3,Online,Canada
2024-01-23,1,23,Deluxe,283,1,Travel Agency,USA
2024-01-23,1,23,Suite,286,1,Walk-in,France
2024-01-23,1,23,Double,111,2,Walk-in,France
2024-01-23,1,23,Double,135,2,Travel Agency,Japan
2024-01-23,1,23,Double,87,3,Walk-in,France
2024-01-24,1,24,Suite,206,2,Travel Agency,Canada
2024-01-24,1,24,Suite,208,3,Walk-in,UK
2024-01-24,1,24,Single,89,1,Corporate,France
2024-01-24,1,24,Single,52,3,Walk-in,France
2024-01-24,1,24,Suite,204,5,Online,Australia
2024-01-24,1,24,Single,85,5,Online,USA
2024-01-24,1,24,Single,53,2,Online,France
2024-01-24,1,24,Double,139,3,Online,Germany
2024-01-24,1,24,Deluxe,328,3,Online,India
2024-01-24,1,24,Suite,268,5,Walk-in,UK
2024-01-24,1,24,Single,76,5,Travel Agency,Canada
2024-01-24,1,24,Deluxe,253,4,Travel Agency,Japan
2024-01-24,1,24,Deluxe,260,3,Corporate,Canada
2024-01-24,1,24,Suite,153,4,Corporate,India
2024-01-24,1,24,Single,79,5,Travel Agency,Germany
2024-01-25,1,25,Double,85,1,Online,Canada
2024-01-25,1,25,Suite,151,3,Travel Agency,UK
2024-01-25,1,25,Deluxe,275,3,Corporate,France
2024-01-25,1,25,Deluxe,270,5,Online,Australia
2024-01-25,1,25,Suite,159,3,Corporate,Australia
2024-01-25,1,25,Double,115,5,Travel Agency,Canada
2024-01-25,1,25,Deluxe,267,5,Corporate,India
2024-01-25,1,25,Single,72,3,Corporate,Canada
2024-01-25,1,25,Double,143,3,Online,UK
2024-01-25,1,25,Suite,269,5,Travel Agency,France
2024-01-25,1,25,Double,104,5,Online,USA
2024-01-25,1,25,Suite,179,2,Corporate,Japan
2024-01-25,1,25,Single,50,3,Online,India
2024-01-25,1,25,Double,112,5,Corporate,Canada
2024-01-25,1,25,Suite,214,2,Corporate,Canada
2024-01-26,1,26,Single,77,3,Walk-in,Japan
2024-01-26,1,26,Suite,290,3,Online,Germany
2024-01-26,1,26,Suite,253,2,Corporate,Germany
2024-01-26,1,26,Deluxe,214,3,Corporate,Canada
2024-01-26,1,26,Suite,175,5,Walk-in,UK
2024-01-26,1,26,Double,145,1,Walk-in,UK
2024-01-26,1,26,Double,143,2,Online,USA
2024-01-26,1,26,Suite,181,1,Online,UK
2024-01-26,1,26,Double,136,3,Corporate,USA
2024-01-26,1,26,Deluxe,282,5,Corporate,Germany
2024-01-27,1,27,Suite,268,4,Travel Agency,Australia
2024-01-27,1,27,Single,59,4,Walk-in,UK
2024-01-27,1,27,Suite,255,3,Walk-in,USA
2024-01-27,1,27,Deluxe,217,5,Walk-in,India
2024-01-27,1,27,Deluxe,365,2,Travel Agency,Canada
2024-01-27,1,27,Suite,266,1,Walk-in,Germany
2024-01-27,1,27,Single,87,5,Travel Agency,India
2024-01-27,1,27,Deluxe,323,5,Travel Agency,Australia
2024-01-27,1,27,Deluxe,343,1,Travel Agency,Australia
2024-01-27,1,27,Suite,276,1,Corporate,France
2024-01-27,1,27,Suite,202,5,Online,UK
2024-01-27,1,27,Single,81,1,Travel Agency,Japan
2024-01-27,1,27,Double,105,3,Online,India
2024-01-28,1,28,Double,128,5,Corporate,USA
2024-01-28,1,28,Suite,179,1,Travel Agency,India
2024-01-28,1,28,Single,95,3,Walk-in,Australia
2024-01-28,1,28,Single,52,4,Travel Agency,Germany
2024-01-28,1,28,Suite,185,1,Online,USA
2024-01-28,1,28,Suite,238,2,Online,USA
2024-01-28,1,28,Double,98,3,Online,Australia
2024-01-28,1,28,Double,119,5,Walk-in,Australia
2024-01-28,1,28,Single,79,1,Walk-in,India
2024-01-28,1,28,Single,72,4,Online,UK
2024-01-28,1,28,Suite,289,1,Walk-in,Canada
2024-01-28,1,28,Deluxe,388,5,Travel Agency,USA
2024-01-28,1,28,Single,85,1,Online,USA
2024-01-28,1,28,Double,119,5,Walk-in,Canada
2024-01-28,1,28,Double,133,2,Online,USA
2024-01-28,1,28,Double,137,4,Walk-in,UK
2024-01-28,1,28,Deluxe,208,2,Online,Australia
2024-01-28,1,28,Double,99,2,Online,Australia
2024-01-29,1,29,Deluxe,275,4,Walk-in,India
2024-01-29,1,29,Single,84,1,Online,Australia
2024-01-29,1,29,Single,70,4,Travel Agency,Japan
2024-01-29,1,29,Double,92,1,Online,Japan
2024-01-29,1,29,Single,96,5,Walk-in,UK
2024-01-29,1,29,Double,96,1,Online,Australia
2024-01-29,1,29,Suite,283,4,Online,India
2024-01-29,1,29,Single,64,2,Travel Agency,Australia
2024-01-29,1,29,Deluxe,219,2,Walk-in,Canada
2024-01-29,1,29,Deluxe,236,2,Walk-in,UK
2024-01-29,1,29,Suite,266,3,Travel Agency,France
2024-01-29,1,29,Suite,266,2,Corporate,Canada
2024-01-29,1,29,Double,144,3,Online,UK
2024-01-30,1,30,Deluxe,204,2,Online,France
2024-01-30,1,30,Suite,199,5,Online,France
2024-01-30,1,30,Single,58,4,Travel Agency,UK
2024-01-30,1,30,Double,149,5,Corporate,USA
2024-01-30,1,30,Suite,217,3,Online,France
2024-01-30,1,30,Single,87,2,Corporate,India
2024-01-30,1,30,Deluxe,235,2,Travel Agency,India
2024-01-30,1,30,Deluxe,374,3,Travel Agency,USA
2024-01-30,1,30,Double,150,2,Online,UK
2024-01-30,1,30,Suite,281,4,Online,UK
2024-01-31,1,31,Single,65,2,Corporate,Germany
2024-01-31,1,31,Single,67,5,Travel Agency,Japan
2024-01-31,1,31,Single,53,1,Corporate,USA
2024-01-31,1,31,Double,101,2,Corporate,Canada
2024-01-31,1,31,Deluxe,216,1,Travel Agency,France
2024-01-31,1,31,Double,114,2,Walk-in,Canada
2024-01-31,1,31,Double,140,2,Walk-in,India
2024-01-31,1,31,Double,81,4,Corporate,Australia
2024-01-31,1,31,Deluxe,330,4,Travel Agency,Canada
2024-01-31,1,31,Deluxe,330,5,Online,India
2024-01-31,1,31,Suite,230,1,Walk-in,Canada
2024-01-31,1,31,Double,136,3,Online,Japan
2024-01-31,1,31,Single,98,2,Travel Agency,Germany
2024-01-31,1,31,Suite,199,2,Travel Agency,Japan
2024-01-31,1,31,Deluxe,390,4,Walk-in,Germany
2024-02-01,2,1,Deluxe,295,4,Online,Australia
2024-02-01,2,1,Double,135,1,Corporate,Germany
2024-02-01,2,1,Double,141,2,Corporate,India
2024-02-01,2,1,Single,98,4,Walk-in,Australia
2024-02-01,2,1,Suite,276,3,Corporate,UK
2024-02-01,2,1,Double,107,4,Walk-in,USA
2024-02-01,2,1,Deluxe,349,1,Travel Agency,Canada
2024-02-01,2,1,Suite,250,5,Travel Agency,France
2024-02-01,2,1,Single,83,4,Walk-in,Japan
2024-02-01,2,1,Double,150,5,Online,France
2024-02-01,2,1,Suite,219,4,Travel Agency,Germany
2024-02-01,2,1,Double,147,5,Online,Canada
2024-02-01,2,1,Single,74,2,Travel Agency,USA
2024-02-02,2,2,Single,85,1,Travel Agency,Japan
2024-02-02,2,2,Double,130,2,Walk-in,India
2024-02-02,2,2,Deluxe,348,1,Corporate,India
2024-02-02,2,2,Suite,253,4,Corporate,Australia
2024-02-02,2,2,Suite,158,5,Walk-in,Canada
2024-02-02,2,2,Double,147,3,Online,France
2024-02-02,2,2,Deluxe,375,1,Corporate,Australia
2024-02-02,2,2,Deluxe,215,4,Travel Agency,India
2024-02-02,2,2,Suite,162,4,Online,Canada
2024-02-02,2,2,Single,73,3,Corporate,Australia
2024-02-02,2,2,Single,89,1,Online,France
2024-02-02,2,2,Single,78,3,Travel Agency,India
2024-02-02,2,2,Deluxe,212,1,Travel Agency,USA
2024-02-02,2,2,Deluxe,202,4,Corporate,Australia
2024-02-02,2,2,Double,123,1,Walk-in,Germany
2024-02-02,2,2,Suite,280,5,Travel Agency,France
2024-02-02,2,2,Double,90,2,Corporate,Canada
2024-02-02,2,2,Suite,244,4,Corporate,Australia
2024-02-02,2,2,Suite,271,1,Corporate,Canada
2024-02-03,2,3,Suite,271,5,Corporate,Japan
2024-02-03,2,3,Deluxe,361,4,Corporate,France
2024-02-03,2,3,Suite,201,4,Online,France
2024-02-03,2,3,Double,125,4,Corporate,Germany
2024-02-03,2,3,Suite,198,5,Travel Agency,Germany
2024-02-03,2,3,Deluxe,219,5,Travel Agency,USA
2024-02-03,2,3,Double,93,1,Travel Agency,USA
2024-02-03,2,3,Single,87,3,Corporate,India
2024-02-03,2,3,Suite,248,3,Online,Japan
2024-02-03,2,3,Suite,221,5,Travel Agency,UK
2024-02-03,2,3,Single,92,5,Travel Agency,USA
2024-02-03,2,3,Deluxe,338,1,Online,France
2024-02-04,2,4,Double,146,1,Walk-in,USA
2024-02-04,2,4,Double,91,4,Travel Agency,Japan
2024-02-04,2,4,Suite,228,4,Corporate,Germany
2024-02-04,2,4,Single,81,5,Corporate,Germany
2024-02-04,2,4,Suite,235,1,Corporate,USA
2024-02-04,2,4,Double,112,3,Travel Agency,France
2024-02-04,2,4,Suite,230,2,Online,USA
2024-02-04,2,4,Deluxe,261,3,Online,France
2024-02-04,2,4,Deluxe,393,5,Walk-in,USA
2024-02-04,2,4,Double,91,2,Online,Canada
2024-02-04,2,4,Single,84,4,Corporate,Australia
2024-02-04,2,4,Double,130,2,Online,UK
2024-02-04,2,4,Deluxe,308,4,Corporate,Canada
2024-02-04,2,4,Double,88,4,Walk-in,India
2024-02-04,2,4,Deluxe,368,5,Corporate,USA
2024-02-05,2,5,Single,60,1,Online,Australia
2024-02-05,2,5,Deluxe,247,1,Travel Agency,UK
2024-02-05,2,5,Double,139,2,Walk-in,UK
